,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
0,0,Too Good Drake,Too Good,Drake,0.641,0.82,0.102,0.395,117.974,5.07e-05,0.0662,77,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
1,0,Trust Nobody Selena Gomez Tory Lanez Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.625,0.49,0.118,0.748,78.762,0,0.497,66,"['dance pop', 'downtempo', 'edm', 'electropop', 'pop', 'post-teen pop', 'shiver pop']"
2,0,Don't Wanna Know Maroon5 Kendrick Lamar,Don't Wanna Know Maroon5 Kendrick Lamar,,,,,,,,,,
3,1,Put that on my set asap rocky ft skepta,Put that on my set asap rocky ft skepta,,,,,,,,,,
4,1,High rhe beach lana del rey,High rhe beach lana del rey,,,,,,,,,,
5,1,New level asap ferg,New Level,A$AP Ferg,0.655,0.526,0.116,0.156,121.127,0,0.0566,65,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
6,2,Fireproof Coleman Hell,Fireproof,Coleman Hell,0.774,0.692,0.141,0.771,128.033,1.02e-05,0.0149,47,"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']"
7,2,Love on the Brain Rhianna,Love on the Brain Rhianna,,,,,,,,,,
8,2,This Girl Kungs vs Cookin' on 3 Burners,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,0.717,0.792,0.226,0.466,121.985,3.59e-05,0.0927,80,"['deep tropical house', 'edm', 'pop', 'tropical house']"
9,3,Eyes Nose Lips TaeYang,"눈,코,입(Eyes, Noes, Lips)",TAEYANG,0.516,0.631,0.264,0.254,143.777,0,0.738,67,"['k-pop', 'korean r&b']"
10,3,Me Like Yuh Jay Park,Me Like Yuh,Jay Park,0.831,0.715,0.132,0.805,100.006,3.84e-06,0.223,63,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
11,3,Aquaman Jay Park,Aquaman,Jay Park,0.87,0.699,0.0507,0.729,96.945,0,0.0856,51,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
12,4,Sugar Wanderlust,Sweet Sugar,Wanderlust,0.813,0.302,0.368,0.339,126.965,0.0827,0.255,0,"['peruvian indie', 'peruvian rock']"
13,4,Blue Jeans Lana Del Ray,Blue Jeans,Piano Tribute Players,0.265,0.724,0.063,0.244,117.956,0.846,0.944,6,[]
14,4,Mr. Bright side the killers,Mr. Bright side the killers,,,,,,,,,,
15,5,Look on Up Relient K,Look on Up,Relient K,0.383,0.48,0.125,0.265,169.869,9.59e-06,0.202,38,"['canadian ccm', 'ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'neo mellow', 'pop punk', 'pop rock']"
