id,songs
0,Too Good Drake
0,Trust Nobody Selena Gomez Tory Lanez Cashmere Cat
0,Don't Wanna Know Maroon5 Kendrick Lamar
1,Put that on my set asap rocky ft skepta
1,High rhe beach lana del rey
1,New level asap ferg
2,Fireproof Coleman Hell
2,Love on the Brain Rhianna
2,This Girl Kungs vs Cookin' on 3 Burners
3,Eyes Nose Lips TaeYang
3,Me Like Yuh Jay Park
3,Aquaman Jay Park
4,Sugar Wanderlust
4,Blue Jeans Lana Del Ray
4,Mr. Bright side the killers
5,Look on Up Relient K
5,Money and Fame NeedToBreathe
5,Awakening Switchfoot
6,Timmy Turner Desiigner
6,Starboy The Weeknd
6,One Dance Drake
7,SelfControl Frank Ocean
7,0 to 100/ The Catch Up Drake
7,All I Ask Adele
8,Never say never basement jaxx 
8,Location khalid
8,Right here Dave b 
9,Kids in the Dark
9,Hurt
9,Angel
10,Location Khalid
10,I Remember AlunaGeorge
10,No One Mothica (Kayge Calypso & DUNN Remix)
11,Four seasons vivaldi
11,https://www.youtube.com/watch?v=ABuR0nLRVo&list=PLkqYoqI5Cl1pc6b5jxei9o5CiMMlyZ3nO
11,End of august yanni
12,Monsoon Tokio Hotel
12,Imagine the Fire Hans Zimmer
12,Way Away Yellowcard
13,One Dance Drake
13,Summertime Sadness
13,Sorry Justin Bieber 
14,Peg pugg deep karan
14,Label black gupz sehra
14,No heart 21 savage
15,Arrival of the birds the cinematic orchestra
15,Waltz for life will be born Nujabes
15,Throw it back ProletR
16,Reverse skydiving Hot Natured ft. Anabel Englund
16,Let's Nacho from the movie Kapoor & Sons
16,Lighthouse Nicky Romero
17,swang Travis scott
17,fake love Drake
17,used to it future
18,M.A.A.D City Kendrick Lamar
18,Ultralight Beam Kanye West
18,Closer Chainsmokers
19,Maybe idk
19,Famous kanye
19,Mad world jubel
20,You Left Me Croquet Club
20,Steppin' Out Kaskade
20,Sæglópur Sigur Rós
21,Do You Mind DJ Khaled
21,Can't Forget You San Holo
21,Into You Ariana Grande
22,Broccoli D.R.A.M ft. Lil Yachty
22,Dat $tick Rich Chigga
22,Dissolve Absofacto
23,The Greatest Sia
23,11 Blocks Wrabel
23,Crazier Taylor Swift
24,Justified A Day to Remember
24,Tidal Wave Taking Back Sunday
24,Black Honey Thrice 
25,Diljit Do You Know
25,Mickey Singh Phone
25,Travis Scott Through the Late Night
26,Cold Water
26,One dance 
26,24K Magic
27,Fake Love Drake
27,Goosebumps Travis Scott 
27,Deuces Chris Brown 
28,Perfect Illusion Lady GaGa
28,Me Too Meghan Trainor
28,Uptown Funk Mark Ronson ft Bruno Mars
29,Cold Water By Major Lazer justin bieber
29,Count on me By Bruno Mars
29,Treat you Better Shawn Mendes
30,Chain Gang Sam Cooke
30,After Laughter Wendy Rene
30,Put me Thru Anderson Paak
31,Bombae fuse odg
31,Salute jassi sidhu
31,Fake love drake
32,A.I. OneRepublic
32,Symphony Zeds Dead
32,Star Boy The Weeknd and Daft Punk
33,Closer The Chainsmokers
33,Don't Wanna Know Maroon 5
33,I only listen to 2 songs all day
34,Rhinestone Cowboy Madvillain
34,N.Y. State of mind Nas
34,Ultralight Beam Kanye West
35,Find me kings of leon
35,Go with the flow the Queens of the stone age
35,Bored to death Blink 182
36,Breaking the chain Sum 41
36,Cutting shapes Don Diablo
36,Middle DJ snake
37,starboy the weeknd
37,shameless the weeknd
37,dark times the weeknd
38,Someday The Strokes
38,Sedone Houndmouth
38,The Grand Optimist City and Colour
39,Perfect Illusion Lady Gaga
39,Alive Sia
39,All I ask Adele
40,Take Care Drake 
40,Too Good Drake 
40,Shake it off taylor swift
41,Treacherous  Taylor Swift 
41,Carolina in my mind James Taylor 
41,Wild horses Rolling Stones 
42,Low Trace
42,Final Song Mo
42,Closer Chainsmokers
43,24K Bruno Mars
43,Come Together The Beatles
43,Closer The Chainsmokers and Halsey
44,Closer Chainsmokers
44,In the end linkin park
44,Controlla drake
45,Howling at the Moon Milow
45,If I were sorry Frans
45,Human RAG 'N' BONE MAN
46,Black Beatles 
46,Starboy
46,I miss you blink 182
47,Rockae Clean Bandit
47,Craig David ain't givin up (wide awake remix)
47,Far East movement freal luv
48,No Money Galantis
48,Shelter Porter Robinson & Madeon
48,Love10 masara ft. Julianna & Ran
49,Rambo Bryson Tiller
49,The Zone The Weeknd
49,Saint Pablo Kanye West
50,Foundations Kate Nash
50,Signed Sealed Delivered (I'm Yours) Stevie Wonder
50,Pine for Cedars Dan Mangan
51,Arirang Song So Hee
51,Four seasons Vivaldi 
51,No more Loco
52,Supernova Mr Hudson/Kanye West
52,Flight Tristam 
52,Call On Me Starley
53,Show you the light MARC
53,Starboy The Weekend
53,Wanted Trevor Guthrie
54,Drama Roy Woods
54,Maybe IDK Jon Belion
54,Luxury Jon Belion
55,Lifelines I Prevail
55,Carry On Memphis May Fire
55,Air Is Free Johnossi
56,Blame Diplo
