id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
1,98.85266667,Medium-Slow-tempo,0.1062,Low,0.52,High-Valence,0.642333333,Low-Energy,0.726,High-dance,0.293533333,High,0.0000235,Low,4,3,5,3,6,21,High-Health,Male,18 - 30,1-2 hours,Medium,No,0
2,126.54,Medium-Fast-tempo,0.1175,Low,0.11815,Low-Valence,0.5795,Low-Energy,0.5195,Low-dance,0.1503,Low,0.003915,Low,6,6,3,5,5,25,High-Health,Male,18 - 30,1-2 hours,Medium,No,1
3,140.6766667,Fast-tempo,0.135033333,Low,0.542333333,High-Valence,0.697666667,High-Energy,0.660333333,High-dance,0.061166667,Low,3.46E-05,Low,5,5,4,4,5,23,High-Health,Female,18 - 30,0 - 1 hours,Low,No,0
4,113.6566667,Medium-Fast-tempo,0.109866667,Low,0.605333333,High-Valence,0.698333333,High-Energy,0.718,High-dance,0.161866667,Low,0.000014,Low,3,6,5,5,5,24,High-Health,Male,18 - 30,2+ hours,High,No,0
5,131.011,Fast-tempo,0.174533333,Low,0.267666667,Low-Valence,0.671333333,High-Energy,0.452,Low-dance,0.400026667,High,0.309566667,High,2,5,2,1,5,15,Medium-Health,Female,18 - 30,0 - 1 hours,Low,Yes,0
6,149.958,Fast-tempo,0.1145,Low,0.408,Low-Valence,0.740666667,High-Energy,0.511666667,Low-dance,0.090369667,Low,0.00003223,Low,3,4,4,5,6,22,High-Health,Male,18 - 30,0 - 1 hours,Low,No,0
7,137.6853333,Fast-tempo,0.202666667,High,0.39,Low-Valence,0.614,Low-Energy,0.727,High-dance,0.117673333,Low,0.00082183,Low,4,5,2,5,4,20,Medium-Health,Male,18 - 30,1-2 hours,Medium,No,0
8,103.7043333,Medium-Slow-tempo,0.265,High,0.425666667,Low-Valence,0.400666667,Low-Energy,0.613,Low-dance,0.804666667,High,0,Low,4,4,4,4,5,21,High-Health,Female,18 - 30,1-2 hours,Medium,No,0
9,111.3616667,Medium-Fast-tempo,0.1766,Low,0.365,Low-Valence,0.545,Low-Energy,0.734333333,High-dance,0.219596667,High,0.037035,Low,3,2,4,3,1,13,Medium-Health,Male,18 - 30,2+ hours,High,No,0
10,130.039,Medium-Fast-tempo,0.0903,Low,0.744,High-Valence,0.981,High-Energy,0.519,Low-dance,0.00136,Low,0.000155,Low,2,5,3,5,5,20,Medium-Health,Male,18 - 30,2+ hours,High,No,2
11,101.9916667,Medium-Slow-tempo,0.282933333,High,0.409,Low-Valence,0.58,Low-Energy,0.760333333,High-dance,0.458,High,0.000035,Low,4,6,6,5,5,26,High-Health,Female,18 - 30,2+ hours,High,No,0
12,125.9875,Medium-Fast-tempo,0.4676,High,0.26635,Low-Valence,0.2865,Low-Energy,0.21,Low-dance,0.791,High,0.454975,High,4,5,2,5,5,21,High-Health,Male,18 - 30,2+ hours,High,Yes,1
13,131.535,Fast-tempo,0.155833333,Low,0.238,Low-Valence,0.784666667,High-Energy,0.501333333,Low-dance,0.062268977,Low,0.2556797,High,2,3,2,4,4,15,Medium-Health,Male,18 - 30,0 - 1 hours,Low,No,0
14,110.0656667,Medium-Slow-tempo,0.261333333,High,0.294,Low-Valence,0.732,High-Energy,0.651333333,High-dance,0.03694,Low,0.000822907,Low,4,4,5,4,5,22,High-Health,Female,18 - 30,1-2 hours,Medium,No,0
15,111.5605,Medium-Fast-tempo,0.1161,Low,0.787,High-Valence,0.6775,High-Energy,0.8125,High-dance,0.3125,High,0.0000322,Low,6,6,4,5,5,26,High-Health,Male,18 - 30,1-2 hours,Medium,No,1
16,171.67,Fast-tempo,0.639,High,0.926,High-Valence,0.79,High-Energy,0.5,Low-dance,0.173,Low,0,Low,1,0,3,2,4,10,Low-Health,Male,18 - 30,1-2 hours,Medium,Yes,2
17,129.0495,Medium-Fast-tempo,0.20655,High,0.6225,High-Valence,0.823,High-Energy,0.673,High-dance,0.0557,Low,0.01105,Low,0,2,5,2,5,14,Medium-Health,Female,18 - 30,2+ hours,High,No,1
18,146.3026667,Fast-tempo,0.133333333,Low,0.421666667,Low-Valence,0.529,Low-Energy,0.74,High-dance,0.142733333,Low,1.44E-05,Low,4,5,2,4,4,19,Medium-Health,Male,18 - 30,2+ hours,High,No,0
19,97.81133333,Medium-Slow-tempo,0.370333333,High,0.406666667,Low-Valence,0.545666667,Low-Energy,0.608666667,Low-dance,0.368766667,High,0.00000069,Low,2,5,3,5,6,21,High-Health,Male,18 - 30,0 - 1 hours,Low,No,0
20,147.0745,Fast-tempo,0.1435,Low,0.321,Low-Valence,0.637,Low-Energy,0.54,Low-dance,0.0513,Low,0,Low,5,4,4,5,4,22,High-Health,Male,18 - 30,1-2 hours,Medium,No,1
21,104.3816667,Medium-Slow-tempo,0.269666667,High,0.3833,Low-Valence,0.601,Low-Energy,0.491,Low-dance,0.376433333,High,0.5651,High,4,5,4,6,6,25,High-Health,Male,18 - 30,2+ hours,High,No,0
22,107.0873333,Medium-Slow-tempo,0.233,High,0.247666667,Low-Valence,0.678666667,High-Energy,0.534666667,Low-dance,0.01181,Low,0.002470487,Low,3,4,1,4,4,16,Medium-Health,Male,18 - 30,2+ hours,High,No,0
23,113.163,Medium-Fast-tempo,0.108666667,Low,0.556333333,High-Valence,0.519333333,Low-Energy,0.824,High-dance,0.224,High,0.0080707,Low,4,4,2,5,5,20,Medium-Health,Female,18 - 30,1-2 hours,Medium,Yes,0
24,141.5293333,Fast-tempo,0.110233333,Low,0.398,Low-Valence,0.66,High-Energy,0.553333333,Low-dance,0.0404,Low,0.000161567,Low,4,4,2,3,6,19,Medium-Health,Female,18 - 30,0 - 1 hours,Low,Yes,0
25,152.742,Fast-tempo,0.1006,Low,0.301,Low-Valence,0.923,High-Energy,0.417333333,Low-dance,0.002145667,Low,0.00044264,Low,4,3,3,2,2,14,Medium-Health,Female,18 - 30,2+ hours,High,Yes,0
26,101.2046667,Medium-Slow-tempo,0.120833333,Low,0.373,Low-Valence,0.692666667,High-Energy,0.629666667,High-dance,0.214,High,6.73E-07,Low,5,4,4,4,6,23,High-Health,Male,18 - 30,2+ hours,High,No,0
27,101.293,Medium-Slow-tempo,0.230333333,High,0.494333333,High-Valence,0.739,High-Energy,0.735,High-dance,0.032673333,Low,0.00082,Low,4,5,5,6,3,23,High-Health,Male,18 - 30,0 - 1 hours,Low,No,0
28,112.7033333,Medium-Fast-tempo,0.109733333,Low,0.460666667,High-Valence,0.67,High-Energy,0.803,High-dance,0.099266667,Low,0,Low,5,3,4,3,6,21,High-Health,Female,18 - 30,2+ hours,High,Yes,0
29,121.2726667,Medium-Fast-tempo,0.292633333,High,0.678666667,High-Valence,0.706,High-Energy,0.819333333,High-dance,0.032859333,Low,0.196333737,High,3,2,4,4,4,17,Medium-Health,Male,18 - 30,0 - 1 hours,Low,No,0
30,147.6043333,Fast-tempo,0.144,Low,0.530666667,High-Valence,0.606,Low-Energy,0.503333333,Low-dance,0.364333333,High,0,Low,5,3,1,4,4,17,Medium-Health,Male,18 - 30,1-2 hours,Medium,Yes,0
31,142.2626667,Fast-tempo,0.159333333,Low,0.618666667,High-Valence,0.540333333,Low-Energy,0.617333333,Low-dance,0.283633333,High,1.60E-05,Low,2,5,5,6,5,23,High-Health,Male,18 - 30,2+ hours,High,No,0
32,110.852,Medium-Slow-tempo,0.2471,High,0.744,High-Valence,0.811666667,High-Energy,0.843333333,High-dance,0.102466667,Low,9.44E-06,Low,5,4,5,5,6,25,High-Health,Male,17 & Under,1-2 hours,Medium,No,0
33,149.9703333,Fast-tempo,0.135666667,Low,0.371333333,Low-Valence,0.662333333,High-Energy,0.626666667,Low-dance,0.178633333,Low,0.071670747,High,3,3,3,4,4,17,Medium-Health,Female,18 - 30,0 - 1 hours,Low,Yes,0
34,97.532,Medium-Slow-tempo,0.1033,Low,0.5335,High-Valence,0.5755,Low-Energy,0.7625,High-dance,0.385,High,0,Low,5,6,5,5,6,27,High-Health,Male,18 - 30,1-2 hours,Medium,Yes,1
35,83.424,Slow-tempo,0.375,High,0.543333333,High-Valence,0.667333333,High-Energy,0.498666667,Low-dance,0.331133333,High,0.000983333,Low,4,6,2,5,5,22,High-Health,Male,18 - 30,0 - 1 hours,Low,No,0
36,160.303,Fast-tempo,0.368666667,High,0.543666667,High-Valence,0.967666667,High-Energy,0.383333333,Low-dance,0.005795333,Low,0.299733853,High,3,5,2,5,4,19,Medium-Health,Male,18 - 30,2+ hours,High,No,0
37,118.0196667,Medium-Fast-tempo,0.072066667,Low,0.444666667,Low-Valence,0.848,High-Energy,0.617,Low-dance,0.01518,Low,0.0194,Low,5,5,2,5,4,21,High-Health,Male,18 - 30,2+ hours,High,No,0
38,139.6536667,Fast-tempo,0.118833333,Low,0.319333333,Low-Valence,0.525,Low-Energy,0.624,Low-dance,0.133,Low,6.56E-06,Low,5,4,6,5,2,22,High-Health,Male,18 - 30,2+ hours,High,No,0
39,120.604,Medium-Fast-tempo,0.2395,High,0.4655,High-Valence,0.5985,Low-Energy,0.467,Low-dance,0.020725,Low,0.0000685,Low,2,4,3,1,5,15,Medium-Health,Female,18 - 30,1-2 hours,Medium,No,1
40,121.9393333,Medium-Fast-tempo,0.202666667,High,0.468333333,High-Valence,0.63,Low-Energy,0.510666667,Low-dance,0.390793333,High,3.37E-05,Low,4,2,2,1,1,10,Low-Health,Male,18 - 30,1-2 hours,Medium,No,0
