energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,health
0.642333333,0.726,0.1062,0.52,98.85266667,0.0000235,0.293533333,82.66666667,21
0.568666667,0.597,0.114,0.131766667,121.6806667,0.002693,0.137866667,66,25
0.697666667,0.660333333,0.135033333,0.542333333,140.6766667,3.46E-05,0.061166667,70,23
0.698333333,0.718,0.109866667,0.605333333,113.6566667,0.000014,0.161866667,53,24
0.671333333,0.452,0.174533333,0.267666667,131.011,0.309566667,0.400026667,27,15
0.740666667,0.511666667,0.1145,0.408,149.958,0.00003223,0.090369667,44.33333333,22
0.400666667,0.613,0.265,0.425666667,103.7043333,0,0.804666667,71.33333333,21
0.545,0.734333333,0.1766,0.365,111.3616667,0.037035,0.219596667,57,13
0.784666667,0.501333333,0.155833333,0.238,131.535,0.2556797,0.062268977,45.66666667,15
0.732,0.651333333,0.261333333,0.294,110.0656667,0.000822907,0.03694,78,22
0.698333333,0.747333333,0.166266667,0.646333333,125.3746667,0.013,0.03898,49.66666667,14
0.545666667,0.608666667,0.370333333,0.406666667,97.81133333,0.00000069,0.368766667,82,21
0.601,0.491,0.269666667,0.3833,104.3816667,0.5651,0.376433333,38.66666667,25
0.678666667,0.534666667,0.233,0.247666667,107.0873333,0.002470487,0.01181,70.33333333,16
0.519333333,0.824,0.108666667,0.556333333,113.163,0.0080707,0.224,67.66666667,20
0.66,0.553333333,0.110233333,0.398,141.5293333,0.000161567,0.0404,74.66666667,19
0.923,0.417333333,0.1006,0.301,152.742,0.00044264,0.002145667,55.66666667,14
0.692666667,0.629666667,0.120833333,0.373,101.2046667,6.73E-07,0.214,59.33333333,23
0.739,0.735,0.230333333,0.494333333,101.293,0.00082,0.032673333,89.33333333,23
0.67,0.803,0.109733333,0.460666667,112.7033333,0,0.099266667,75.66666667,21
0.606,0.503333333,0.144,0.530666667,147.6043333,0,0.364333333,60.66666667,17
0.540333333,0.617333333,0.159333333,0.618666667,142.2626667,1.60E-05,0.283633333,51.66666667,23
0.811666667,0.843333333,0.2471,0.744,110.852,9.44E-06,0.102466667,59,25
0.662333333,0.626666667,0.135666667,0.371333333,149.9703333,0.071670747,0.178633333,67.66666667,17
0.667333333,0.498666667,0.375,0.543333333,83.424,0.000983333,0.331133333,58,22
0.967666667,0.383333333,0.368666667,0.543666667,160.303,0.299733853,0.005795333,63.33333333,19
0.848,0.617,0.072066667,0.444666667,118.0196667,0.0194,0.01518,69,21
0.525,0.624,0.118833333,0.319333333,139.6536667,6.56E-06,0.133,75.33333333,22
0.63,0.510666667,0.202666667,0.468333333,121.9393333,3.37E-05,0.390793333,68.66666667,10
0.310666667,0.468333333,0.109833333,0.208666667,121.123,0.302364,0.588666667,41.66666667,24
0.668333333,0.647333333,0.136866667,0.360333333,113.3453333,0.1386948,0.144196667,86.33333333,6
0.567666667,0.699666667,0.118866667,0.477333333,122.329,0.082666667,0.1594,86,20
0.633666667,0.682666667,0.182333333,0.457,97.88766667,0,0.173833333,86.66666667,9
0.659333333,0.696333333,0.180333333,0.514333333,102.6793333,1.37E-05,0.303,65,11
0.672,0.711666667,0.120033333,0.479666667,147.3313333,4.09E-06,0.10012,81.66666667,12
0.741,0.658,0.157233333,0.604,107.3293333,1.65E-05,0.196566667,63.33333333,21
0.614666667,0.586,0.141333333,0.308666667,163.0533333,0.000107337,0.292,65.66666667,23
0.589333333,0.565666667,0.092933333,0.666333333,101.2063333,1.25E-05,0.262066667,38.33333333,22
0.796666667,0.607333333,0.192,0.564333333,102.7846667,0.000212233,0.039033333,58.66666667,23
0.733666667,0.628666667,0.164333333,0.389,139.7016667,0.00000223,0.15905,74.33333333,20
0.428666667,0.635333333,0.124566667,0.181666667,106.9383333,8.37E-05,0.071133333,64.33333333,13
0.837666667,0.485666667,0.157733333,0.391133333,149.6896667,0.295106333,0.101100707,61.33333333,19
0.543333333,0.706666667,0.221333333,0.550333333,122.9463333,0.000153333,0.23,52,14
0.470666667,0.478,0.195333333,0.462,120.997,0.00035428,0.606333333,60.33333333,13
0.774333333,0.662333333,0.268333333,0.678666667,123.3706667,0,0.272433333,71.33333333,23
0.653666667,0.684333333,0.066333333,0.557666667,148.359,0.079491827,0.069366667,71.33333333,19
0.711333333,0.603333333,0.312,0.552333333,118.2313333,0,0.121966667,74.33333333,13
0.581,0.735666667,0.1142,0.514666667,127.035,0.00000183,0.313,92.66666667,20
0.958333333,0.531666667,0.304,0.407666667,123.6996667,0.00014232,0.000366667,47,21
0.577333333,0.754333333,0.1125,0.659,139.958,0,0.322333333,74.33333333,13
0.683,0.668,0.144533333,0.583333333,111.8953333,0.000131433,0.226266667,58.33333333,17
0.791,0.661,0.244366667,0.810333333,167.012,6.13E-07,0.366,64.33333333,22
0.696333333,0.647666667,0.196,0.479666667,134.8173333,0,0.104296667,56.66666667,22
0.593333333,0.622666667,0.145333333,0.274666667,105.7413333,0.000906667,0.081433333,85,22
0.464333333,0.711333333,0.110433333,0.515,117.9706667,0,0.385,79.33333333,14
0.639,0.697666667,0.159866667,0.387,98.353,0.011366667,0.326306667,69,20
