energy,dance,valence,tempo,popularity
0.642333333,0.726,0.52,0.195057238,0.826666667
0.568666667,0.597,0.131766667,0.464649567,0.66
0.697666667,0.660333333,0.542333333,0.688987041,0.7
0.698333333,0.718,0.605333333,0.369888359,0.53
0.671333333,0.452,0.267666667,0.574838207,0.27
0.740666667,0.511666667,0.408,0.798597005,0.443333333
0.400666667,0.613,0.425666667,0.252354071,0.713333333
0.545,0.734333333,0.365,0.342785048,0.57
0.784666667,0.501333333,0.238,0.581026501,0.456666667
0.732,0.651333333,0.294,0.327479648,0.78
0.698333333,0.747333333,0.646333333,0.508274679,0.496666667
0.545666667,0.608666667,0.406666667,0.182759381,0.82
0.601,0.491,0.3833,0.26035319,0.386666667
0.678666667,0.534666667,0.247666667,0.29230636,0.703333333
0.519333333,0.824,0.556333333,0.364058293,0.676666667
0.66,0.553333333,0.398,0.699056796,0.746666667
0.923,0.417333333,0.301,0.83147527,0.556666667
0.692666667,0.629666667,0.373,0.222833704,0.593333333
0.739,0.735,0.494333333,0.223876895,0.893333333
0.67,0.803,0.460666667,0.358629757,0.756666667
0.606,0.503333333,0.530666667,0.770800856,0.606666667
0.540333333,0.617333333,0.618666667,0.70771726,0.516666667
0.811666667,0.843333333,0.744,0.336766026,0.59
0.662333333,0.626666667,0.371333333,0.798742658,0.676666667
0.667333333,0.498666667,0.543333333,0.012848977,0.58
0.967666667,0.383333333,0.543666667,0.920768577,0.633333333
0.848,0.617,0.444666667,0.421414175,0.69
0.525,0.624,0.319333333,0.676905696,0.753333333
0.63,0.510666667,0.468333333,0.467704347,0.686666667
0.310666667,0.468333333,0.208666667,0.458063678,0.416666667
0.668333333,0.647333333,0.360333333,0.366211598,0.863333333
0.567666667,0.699666667,0.477333333,0.472306202,0.86
0.633666667,0.682666667,0.457,0.183660856,0.866666667
0.659333333,0.696333333,0.514333333,0.240249106,0.65
0.672,0.711666667,0.479666667,0.767576802,0.816666667
0.741,0.658,0.604,0.295164312,0.633333333
0.614666667,0.586,0.308666667,0.953249248,0.656666667
0.589333333,0.565666667,0.666333333,0.222853386,0.383333333
0.796666667,0.607333333,0.564333333,0.241493064,0.586666667
0.733666667,0.628666667,0.389,0.677472562,0.743333333
0.428666667,0.635333333,0.181666667,0.290546711,0.643333333
0.837666667,0.485666667,0.391133333,0.795428063,0.613333333
0.543333333,0.706666667,0.550333333,0.479596737,0.52
0.470666667,0.478,0.462,0.456575653,0.603333333
0.774333333,0.662333333,0.678666667,0.484607996,0.713333333
0.653666667,0.684333333,0.557666667,0.77971326,0.713333333
0.711333333,0.603333333,0.552333333,0.423913899,0.743333333
0.581,0.735666667,0.514666667,0.527882753,0.926666667
0.958333333,0.531666667,0.407666667,0.488493395,0.47
0.577333333,0.754333333,0.659,0.680499787,0.743333333
0.683,0.668,0.583333333,0.349087502,0.583333333
0.791,0.661,0.810333333,1,0.643333333
0.696333333,0.647666667,0.479666667,0.619789944,0.566666667
0.593333333,0.622666667,0.274666667,0.276410474,0.85
0.464333333,0.711333333,0.515,0.420835499,0.793333333
0.639,0.697666667,0.387,0.189156313,0.69
