energy,dance,liveness,valence,instrumental,acoustic
0.642333333,0.726,0.1062,0.52,0.0000235,0.293533333
0.568666667,0.597,0.114,0.131766667,0.002693,0.137866667
0.697666667,0.660333333,0.135033333,0.542333333,3.46E-05,0.061166667
0.698333333,0.718,0.109866667,0.605333333,0.000014,0.161866667
0.671333333,0.452,0.174533333,0.267666667,0.309566667,0.400026667
0.740666667,0.511666667,0.1145,0.408,0.00003223,0.090369667
0.400666667,0.613,0.265,0.425666667,0,0.804666667
0.545,0.734333333,0.1766,0.365,0.037035,0.219596667
0.784666667,0.501333333,0.155833333,0.238,0.2556797,0.062268977
0.732,0.651333333,0.261333333,0.294,0.000822907,0.03694
0.698333333,0.747333333,0.166266667,0.646333333,0.013,0.03898
0.545666667,0.608666667,0.370333333,0.406666667,0.00000069,0.368766667
0.601,0.491,0.269666667,0.3833,0.5651,0.376433333
0.678666667,0.534666667,0.233,0.247666667,0.002470487,0.01181
0.519333333,0.824,0.108666667,0.556333333,0.0080707,0.224
0.66,0.553333333,0.110233333,0.398,0.000161567,0.0404
0.923,0.417333333,0.1006,0.301,0.00044264,0.002145667
0.692666667,0.629666667,0.120833333,0.373,6.73E-07,0.214
0.739,0.735,0.230333333,0.494333333,0.00082,0.032673333
0.67,0.803,0.109733333,0.460666667,0,0.099266667
0.606,0.503333333,0.144,0.530666667,0,0.364333333
0.540333333,0.617333333,0.159333333,0.618666667,1.60E-05,0.283633333
0.811666667,0.843333333,0.2471,0.744,9.44E-06,0.102466667
0.662333333,0.626666667,0.135666667,0.371333333,0.071670747,0.178633333
0.667333333,0.498666667,0.375,0.543333333,0.000983333,0.331133333
0.967666667,0.383333333,0.368666667,0.543666667,0.299733853,0.005795333
0.848,0.617,0.072066667,0.444666667,0.0194,0.01518
0.525,0.624,0.118833333,0.319333333,6.56E-06,0.133
0.63,0.510666667,0.202666667,0.468333333,3.37E-05,0.390793333
0.310666667,0.468333333,0.109833333,0.208666667,0.302364,0.588666667
0.668333333,0.647333333,0.136866667,0.360333333,0.1386948,0.144196667
0.567666667,0.699666667,0.118866667,0.477333333,0.082666667,0.1594
0.633666667,0.682666667,0.182333333,0.457,0,0.173833333
0.659333333,0.696333333,0.180333333,0.514333333,1.37E-05,0.303
0.672,0.711666667,0.120033333,0.479666667,4.09E-06,0.10012
0.741,0.658,0.157233333,0.604,1.65E-05,0.196566667
0.614666667,0.586,0.141333333,0.308666667,0.000107337,0.292
0.589333333,0.565666667,0.092933333,0.666333333,1.25E-05,0.262066667
0.796666667,0.607333333,0.192,0.564333333,0.000212233,0.039033333
0.733666667,0.628666667,0.164333333,0.389,0.00000223,0.15905
0.428666667,0.635333333,0.124566667,0.181666667,8.37E-05,0.071133333
0.837666667,0.485666667,0.157733333,0.391133333,0.295106333,0.101100707
0.543333333,0.706666667,0.221333333,0.550333333,0.000153333,0.23
0.470666667,0.478,0.195333333,0.462,0.00035428,0.606333333
0.774333333,0.662333333,0.268333333,0.678666667,0,0.272433333
0.653666667,0.684333333,0.066333333,0.557666667,0.079491827,0.069366667
0.711333333,0.603333333,0.312,0.552333333,0,0.121966667
0.581,0.735666667,0.1142,0.514666667,0.00000183,0.313
0.958333333,0.531666667,0.304,0.407666667,0.00014232,0.000366667
0.577333333,0.754333333,0.1125,0.659,0,0.322333333
0.683,0.668,0.144533333,0.583333333,0.000131433,0.226266667
0.791,0.661,0.244366667,0.810333333,6.13E-07,0.366
0.696333333,0.647666667,0.196,0.479666667,0,0.104296667
0.593333333,0.622666667,0.145333333,0.274666667,0.000906667,0.081433333
0.464333333,0.711333333,0.110433333,0.515,0,0.385
0.639,0.697666667,0.159866667,0.387,0.011366667,0.326306667
0.705,0.768333333,0.112833333,0.482,1.70E-05,0.140033333
0.675333333,0.539333333,0.083666667,0.422666667,0.0740221,0.427666667
0.596333333,0.657333333,0.273666667,0.37,0.001532247,0.120266667
0.558666667,0.623333333,0.309666667,0.299666667,0.00000063,0.152
0.473666667,0.504333333,0.127,0.203833333,0.31394,0.337866667
0.628666667,0.742,0.116166667,0.569,2.74E-06,0.327
0.841666667,0.529333333,0.161666667,0.521333333,0.275666667,0.046618333
0.599666667,0.766,0.186666667,0.478666667,5.09E-05,0.06336
0.527333333,0.766333333,0.1062,0.475,6.63E-06,0.256715333
0.545,0.734333333,0.1766,0.365,0.037035,0.219596667
0.672666667,0.528333333,0.099133333,0.338666667,1.77E-06,0.076433333
0.698333333,0.601333333,0.244,0.341666667,4.79E-05,0.0774
0.752666667,0.661333333,0.329,0.4028,0.000446667,0.0479
0.732,0.799333333,0.100833333,0.755666667,0.000428,0.304433333
0.511333333,0.632,0.135,0.385666667,0.000175333,0.374133333
0.604666667,0.577666667,0.330666667,0.390666667,0.013868133,0.160466667
0.766666667,0.663333333,0.266,0.418333333,0.00082,0.02149
0.727333333,0.679666667,0.116666667,0.487666667,0.000335753,0.1008
0.890666667,0.541,0.399,0.305333333,0.035428,0.000396
0.837,0.547,0.154533333,0.323333333,0.612683267,0.368066667
0.482,0.663,0.114833333,0.464,0.00000183,0.491666667
0.455666667,0.477666667,0.116333333,0.272,0,0.436
0.773333333,0.334666667,0.122033333,0.266333333,0.010992667,0.003586
0.941,0.504,0.349,0.343,0.065443333,0.000205067
0.802,0.658666667,0.272266667,0.786333333,0,0.019926667
0.444,0.788,0.167433333,0.569,0.0022173,0.215066667
0.714666667,0.689,0.207333333,0.608666667,0.00000183,0.273766667
0.745333333,0.714,0.137666667,0.460333333,0.000907937,0.044546667
0.649,0.741333333,0.197666667,0.352,0,0.0954
0.693333333,0.711,0.133666667,0.409666667,1.48E-05,0.095
0.915,0.355666667,0.232433333,0.217333333,0.492500333,0.000733833
0.719,0.595,0.158666667,0.536666667,0,0.269333333
0.605,0.632666667,0.150666667,0.527,0.00044183,0.075166667
0.599666667,0.692,0.192,0.338666667,0.0008435,0.027506667
