tempo,liveness,valence,energy,dance,acoustic,instrumental,health
131.011,0.174533333,0.267666667,0.671333333,0.452,0.400026667,0.309566667,15
113.163,0.108666667,0.556333333,0.519333333,0.824,0.224,0.0080707,20
141.5293333,0.110233333,0.398,0.66,0.553333333,0.0404,0.000161567,19
152.742,0.1006,0.301,0.923,0.417333333,0.002145667,0.00044264,14
112.7033333,0.109733333,0.460666667,0.67,0.803,0.099266667,0,21
147.6043333,0.144,0.530666667,0.606,0.503333333,0.364333333,0,17
149.9703333,0.135666667,0.371333333,0.662333333,0.626666667,0.178633333,0.071670747,17
97.88766667,0.182333333,0.457,0.633666667,0.682666667,0.173833333,0,9
101.2063333,0.092933333,0.666333333,0.589333333,0.565666667,0.262066667,1.25E-05,22
139.7016667,0.164333333,0.389,0.733666667,0.628666667,0.15905,0.00000223,20
106.9383333,0.124566667,0.181666667,0.428666667,0.635333333,0.071133333,8.37E-05,13
120.997,0.195333333,0.462,0.470666667,0.478,0.606333333,0.00035428,13
123.3706667,0.268333333,0.678666667,0.774333333,0.662333333,0.272433333,0,23
118.2313333,0.312,0.552333333,0.711333333,0.603333333,0.121966667,0,13
127.035,0.1142,0.514666667,0.581,0.735666667,0.313,0.00000183,20
139.958,0.1125,0.659,0.577333333,0.754333333,0.322333333,0,13
111.8953333,0.144533333,0.583333333,0.683,0.668,0.226266667,0.000131433,17
167.012,0.244366667,0.810333333,0.791,0.661,0.366,6.13E-07,22
134.8173333,0.196,0.479666667,0.696333333,0.647666667,0.104296667,0,22
105.7413333,0.145333333,0.274666667,0.593333333,0.622666667,0.081433333,0.000906667,22
98.353,0.159866667,0.387,0.639,0.697666667,0.326306667,0.011366667,20
129.0603333,0.083666667,0.422666667,0.675333333,0.539333333,0.427666667,0.0740221,21
142.0363333,0.186666667,0.478666667,0.599666667,0.766,0.06336,5.09E-05,22
132.3023333,0.1062,0.475,0.527333333,0.766333333,0.256715333,6.63E-06,22
112.6673333,0.099133333,0.338666667,0.672666667,0.528333333,0.076433333,1.77E-06,16
107.6303333,0.244,0.341666667,0.698333333,0.601333333,0.0774,4.79E-05,12
114.4533333,0.154533333,0.323333333,0.837,0.547,0.368066667,0.612683267,17
117.0073333,0.214033333,0.421666667,0.663666667,0.717,0.1671,0.001194797,20
148.47,0.207333333,0.608666667,0.714666667,0.689,0.273766667,0.00000183,15
112.6066667,0.232433333,0.217333333,0.915,0.355666667,0.000733833,0.492500333,15
115.6866667,0.122333333,0.351,0.573,0.75,0.169156667,0.011586667,20
159.6976667,0.150666667,0.527,0.605,0.632666667,0.075166667,0.00044183,23
120.0316667,0.192,0.338666667,0.599666667,0.692,0.027506667,0.0008435,19
125.8036667,0.345566667,0.498666667,0.549423333,0.475666667,0.474553333,0.296299033,12
116.3973333,0.145133333,0.486666667,0.715666667,0.649666667,0.073693333,0.000753877,18
105.7556667,0.083366667,0.331233333,0.459333333,0.542333333,0.642333333,0.088333333,12
135.9893333,0.111433333,0.496333333,0.742666667,0.731333333,0.010996667,0.558993333,16
108.6656667,0.105533333,0.415666667,0.533,0.658666667,0.321233333,2.53E-05,14
138.0076667,0.17,0.390666667,0.642666667,0.729,0.100466667,0.00000183,21
