tempo,liveness,valence,energy,dance,acoustic,instrumental,health
98.85266667,0.1062,0.52,0.642333333,0.726,0.293533333,0.0000235,21
126.54,0.1175,0.11815,0.5795,0.5195,0.1503,0.003915,25
140.6766667,0.135033333,0.542333333,0.697666667,0.660333333,0.061166667,3.46233E-05,23
113.6566667,0.109866667,0.605333333,0.698333333,0.718,0.161866667,0.000014,24
131.011,0.174533333,0.267666667,0.671333333,0.452,0.400026667,0.309566667,15
149.958,0.1145,0.408,0.740666667,0.511666667,0.090369667,0.00003223,22
137.6853333,0.202666667,0.39,0.614,0.727,0.117673333,0.00082183,20
103.7043333,0.265,0.425666667,0.400666667,0.613,0.804666667,0,21
111.3616667,0.1766,0.365,0.545,0.734333333,0.219596667,0.037035,13
130.039,0.0903,0.744,0.981,0.519,0.00136,0.000155,20
101.9916667,0.282933333,0.409,0.58,0.760333333,0.458,0.000035,26
125.9875,0.4676,0.26635,0.2865,0.21,0.791,0.454975,21
131.535,0.155833333,0.238,0.784666667,0.501333333,0.062268977,0.2556797,15
110.0656667,0.261333333,0.294,0.732,0.651333333,0.03694,0.000822907,22
111.5605,0.1161,0.787,0.6775,0.8125,0.3125,0.0000322,26
171.67,0.639,0.926,0.79,0.5,0.173,0,10
129.0495,0.20655,0.6225,0.823,0.673,0.0557,0.01105,14
146.3026667,0.133333333,0.421666667,0.529,0.74,0.142733333,1.43667E-05,19
97.81133333,0.370333333,0.406666667,0.545666667,0.608666667,0.368766667,0.00000069,21
147.0745,0.1435,0.321,0.637,0.54,0.0513,0,22
104.3816667,0.269666667,0.3833,0.601,0.491,0.376433333,0.5651,25
107.0873333,0.233,0.247666667,0.678666667,0.534666667,0.01181,0.002470487,16
113.163,0.108666667,0.556333333,0.519333333,0.824,0.224,0.0080707,20
141.5293333,0.110233333,0.398,0.66,0.553333333,0.0404,0.000161567,19
152.742,0.1006,0.301,0.923,0.417333333,0.002145667,0.00044264,14
101.2046667,0.120833333,0.373,0.692666667,0.629666667,0.214,6.73333E-07,23
101.293,0.230333333,0.494333333,0.739,0.735,0.032673333,0.00082,23
112.7033333,0.109733333,0.460666667,0.67,0.803,0.099266667,0,21
121.2726667,0.292633333,0.678666667,0.706,0.819333333,0.032859333,0.196333737,17
147.6043333,0.144,0.530666667,0.606,0.503333333,0.364333333,0,17
142.2626667,0.159333333,0.618666667,0.540333333,0.617333333,0.283633333,1.59667E-05,23
110.852,0.2471,0.744,0.811666667,0.843333333,0.102466667,9.44333E-06,25
149.9703333,0.135666667,0.371333333,0.662333333,0.626666667,0.178633333,0.071670747,17
97.532,0.1033,0.5335,0.5755,0.7625,0.385,0,27
83.424,0.375,0.543333333,0.667333333,0.498666667,0.331133333,0.000983333,22
160.303,0.368666667,0.543666667,0.967666667,0.383333333,0.005795333,0.299733853,19
118.0196667,0.072066667,0.444666667,0.848,0.617,0.01518,0.0194,21
139.6536667,0.118833333,0.319333333,0.525,0.624,0.133,6.56333E-06,22
120.604,0.2395,0.4655,0.5985,0.467,0.020725,0.0000685,15
121.9393333,0.202666667,0.468333333,0.63,0.510666667,0.390793333,3.36667E-05,10
133.293,0.087866667,0.548666667,0.695333333,0.699666667,0.0356,0.001691,22
121.123,0.109833333,0.208666667,0.310666667,0.468333333,0.588666667,0.302364,24
113.3453333,0.136866667,0.360333333,0.668333333,0.647333333,0.144196667,0.1386948,6
122.329,0.118866667,0.477333333,0.567666667,0.699666667,0.1594,0.082666667,20
