id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
1,98.85266667,Medium-Slow,0.1062,Low,0.52,High,0.642333333,Low,0.726,High,0.293533333,High,0.0000235,Low,4,3,5,3,6,21,High,Male,18 - 30,1-2 hours,Medium,No,0
2,126.54,Medium-Fast,0.1175,Low,0.11815,Low,0.5795,Low,0.5195,Low,0.1503,Low,0.003915,Low,6,6,3,5,5,25,High,Male,18 - 30,1-2 hours,Medium,No,1
3,140.6766667,Fast,0.135033333,Low,0.542333333,High,0.697666667,High,0.660333333,High,0.061166667,Low,3.46E-05,Low,5,5,4,4,5,23,High,Female,18 - 30,0 - 1 hours,Low,No,0
4,113.6566667,Medium-Fast,0.109866667,Low,0.605333333,High,0.698333333,High,0.718,High,0.161866667,Low,0.000014,Low,3,6,5,5,5,24,High,Male,18 - 30,2+ hours,High,No,0
5,131.011,Fast,0.174533333,Low,0.267666667,Low,0.671333333,High,0.452,Low,0.400026667,High,0.309566667,High,2,5,2,1,5,15,Medium,Female,18 - 30,0 - 1 hours,Low,Yes,0
6,149.958,Fast,0.1145,Low,0.408,Low,0.740666667,High,0.511666667,Low,0.090369667,Low,0.00003223,Low,3,4,4,5,6,22,High,Male,18 - 30,0 - 1 hours,Low,No,0
7,137.6853333,Fast,0.202666667,High,0.39,Low,0.614,Low,0.727,High,0.117673333,Low,0.00082183,Low,4,5,2,5,4,20,Medium,Male,18 - 30,1-2 hours,Medium,No,0
8,103.7043333,Medium-Slow,0.265,High,0.425666667,Low,0.400666667,Low,0.613,Low,0.804666667,High,0,Low,4,4,4,4,5,21,High,Female,18 - 30,1-2 hours,Medium,No,0
9,111.3616667,Medium-Fast,0.1766,Low,0.365,Low,0.545,Low,0.734333333,High,0.219596667,High,0.037035,Low,3,2,4,3,1,13,Medium,Male,18 - 30,2+ hours,High,No,0
10,130.039,Medium-Fast,0.0903,Low,0.744,High,0.981,High,0.519,Low,0.00136,Low,0.000155,Low,2,5,3,5,5,20,Medium,Male,18 - 30,2+ hours,High,No,2
11,101.9916667,Medium-Slow,0.282933333,High,0.409,Low,0.58,Low,0.760333333,High,0.458,High,0.000035,Low,4,6,6,5,5,26,High,Female,18 - 30,2+ hours,High,No,0
12,125.9875,Medium-Fast,0.4676,High,0.26635,Low,0.2865,Low,0.21,Low,0.791,High,0.454975,High,4,5,2,5,5,21,High,Male,18 - 30,2+ hours,High,Yes,1
13,131.535,Fast,0.155833333,Low,0.238,Low,0.784666667,High,0.501333333,Low,0.062268977,Low,0.2556797,High,2,3,2,4,4,15,Medium,Male,18 - 30,0 - 1 hours,Low,No,0
14,110.0656667,Medium-Slow,0.261333333,High,0.294,Low,0.732,High,0.651333333,High,0.03694,Low,0.000822907,Low,4,4,5,4,5,22,High,Female,18 - 30,1-2 hours,Medium,No,0
15,111.5605,Medium-Fast,0.1161,Low,0.787,High,0.6775,High,0.8125,High,0.3125,High,0.0000322,Low,6,6,4,5,5,26,High,Male,18 - 30,1-2 hours,Medium,No,1
16,171.67,Fast,0.639,High,0.926,High,0.79,High,0.5,Low,0.173,Low,0,Low,1,0,3,2,4,10,Low,Male,18 - 30,1-2 hours,Medium,Yes,2
17,129.0495,Medium-Fast,0.20655,High,0.6225,High,0.823,High,0.673,High,0.0557,Low,0.01105,Low,0,2,5,2,5,14,Medium,Female,18 - 30,2+ hours,High,No,1
